===============================================================================
                                     CVXPY                                     
                                     v1.4.1                                    
===============================================================================
(CVXPY) Jan 20 09:23:43 PM: Your problem has 40000 variables, 1060 constraints, and 0 parameters.
(CVXPY) Jan 20 09:23:44 PM: It is compliant with the following grammars: DCP, DQCP
(CVXPY) Jan 20 09:23:44 PM: (If you need to solve this problem multiple times, but with different data, consider using parameters.)
(CVXPY) Jan 20 09:23:44 PM: CVXPY will first compile your problem; then, it will invoke a numerical solver to obtain a solution.
(CVXPY) Jan 20 09:23:44 PM: Your problem is compiled with the CPP canonicalization backend.
-------------------------------------------------------------------------------
                                  Compilation                                  
-------------------------------------------------------------------------------
(CVXPY) Jan 20 09:23:44 PM: Compiling problem (target solver=SCS).
(CVXPY) Jan 20 09:23:44 PM: Reduction chain: FlipObjective -> Dcp2Cone -> CvxAttr2Constr -> ConeMatrixStuffing -> SCS
(CVXPY) Jan 20 09:23:44 PM: Applying reduction FlipObjective
(CVXPY) Jan 20 09:23:44 PM: Applying reduction Dcp2Cone
(CVXPY) Jan 20 09:23:45 PM: Applying reduction CvxAttr2Constr
(CVXPY) Jan 20 09:23:45 PM: Applying reduction ConeMatrixStuffing
(CVXPY) Jan 20 09:24:19 PM: Applying reduction SCS
(CVXPY) Jan 20 09:24:20 PM: Finished problem compilation (took 3.637e+01 seconds).
-------------------------------------------------------------------------------
                                Numerical solver                               
-------------------------------------------------------------------------------
(CVXPY) Jan 20 09:24:20 PM: Invoking solver SCS  to obtain a solution.
------------------------------------------------------------------
	       SCS v3.2.4 - Splitting Conic Solver
	(c) Brendan O'Donoghue, Stanford University, 2012
------------------------------------------------------------------
problem:  variables n: 20100, constraints m: 21160
cones: 	  z: primal zero / dual free vars: 1059
	  l: linear vars: 1
	  s: psd vars: 20100, ssize: 1
settings: eps_abs: 1.0e-05, eps_rel: 1.0e-05, eps_infeas: 1.0e-07
	  alpha: 1.50, scale: 2.50e-04, adaptive_scale: 0
	  max_iters: 1000000, normalize: 1, rho_x: 1.00e-06
lin-sys:  sparse-direct-amd-qdldl
	  nnz(A): 43574, nnz(P): 0
------------------------------------------------------------------
 iter | pri res | dua res |   gap   |   obj   |  scale  | time (s)
------------------------------------------------------------------
     0| 1.99e+07  2.65e+02  1.03e+09 -5.25e+08  2.50e-04  1.24e-01 
   250| 5.28e+03  9.31e-02  4.41e+05 -4.03e+09  2.50e-04  7.51e+00 
   500| 6.59e+03  9.56e-02  5.63e+05 -4.01e+09  2.50e-04  1.48e+01 
   750| 8.08e+03  1.07e-01  6.96e+05 -3.99e+09  2.50e-04  2.18e+01 
  1000| 1.03e+04  1.30e-01  8.96e+05 -3.97e+09  2.50e-04  2.92e+01 
  1250| 1.45e+04  1.74e-01  1.27e+06 -3.95e+09  2.50e-04  3.64e+01 
  1500| 2.46e+04  2.81e-01  2.17e+06 -3.91e+09  2.50e-04  4.30e+01 
  1750| 9.17e+04  9.43e-01  8.26e+06 -3.79e+09  2.50e-04  4.98e+01 
  2000| 4.50e+03  4.64e-01  1.39e+07 -2.16e+09  2.50e-04  5.71e+01 
  2250| 3.18e+03  3.26e-01  7.63e+06 -1.98e+09  2.50e-04  6.42e+01 
  2500| 3.77e+03  5.35e-02  1.19e+06 -1.95e+09  2.50e-04  7.11e+01 
  2750| 3.09e+03  5.98e-03  5.01e+04 -1.94e+09  2.50e-04  7.78e+01 
  3000| 3.35e+03  8.34e-03  9.52e+04 -1.93e+09  2.50e-04  8.44e+01 
  3250| 3.05e+03  8.87e-03  9.67e+04 -1.92e+09  2.50e-04  9.07e+01 
  3500| 2.93e+03  8.22e-03  9.70e+04 -1.91e+09  2.50e-04  9.62e+01 
  3750| 2.96e+03  6.77e-03  9.18e+04 -1.90e+09  2.50e-04  1.01e+02 
  4000| 2.82e+03  5.93e-03  8.99e+04 -1.89e+09  2.50e-04  1.06e+02 
  4250| 2.75e+03  5.16e-03  8.56e+04 -1.88e+09  2.50e-04  1.11e+02 
  4500| 2.66e+03  4.83e-03  8.36e+04 -1.88e+09  2.50e-04  1.16e+02 
  4750| 2.62e+03  4.34e-03  8.12e+04 -1.87e+09  2.50e-04  1.22e+02 
  5000| 2.55e+03  3.97e-03  7.85e+04 -1.86e+09  2.50e-04  1.28e+02 
  5250| 2.50e+03  3.68e-03  7.69e+04 -1.85e+09  2.50e-04  1.34e+02 
  5500| 2.45e+03  3.55e-03  7.47e+04 -1.84e+09  2.50e-04  1.40e+02 
  5750| 2.42e+03  3.63e-03  7.36e+04 -1.84e+09  2.50e-04  1.47e+02 
  6000| 2.38e+03  3.41e-03  7.16e+04 -1.83e+09  2.50e-04  1.53e+02 
  6250| 2.35e+03  3.37e-03  7.01e+04 -1.82e+09  2.50e-04  1.60e+02 
  6500| 2.32e+03  3.25e-03  6.86e+04 -1.82e+09  2.50e-04  1.67e+02 
  6750| 2.29e+03  3.21e-03  6.72e+04 -1.81e+09  2.50e-04  1.73e+02 
  7000| 2.26e+03  3.14e-03  6.59e+04 -1.80e+09  2.50e-04  1.79e+02 
  7250| 2.23e+03  3.07e-03  6.46e+04 -1.79e+09  2.50e-04  1.85e+02 
  7500| 2.21e+03  3.04e-03  6.34e+04 -1.79e+09  2.50e-04  1.90e+02 
  7750| 2.18e+03  3.00e-03  6.27e+04 -1.78e+09  2.50e-04  1.96e+02 
  8000| 2.16e+03  2.92e-03  6.10e+04 -1.78e+09  2.50e-04  2.04e+02 
  8250| 2.13e+03  2.87e-03  5.99e+04 -1.77e+09  2.50e-04  2.10e+02 
  8500| 2.11e+03  2.83e-03  5.89e+04 -1.76e+09  2.50e-04  2.17e+02 
  8750| 2.09e+03  2.78e-03  5.79e+04 -1.76e+09  2.50e-04  2.24e+02 
  9000| 2.06e+03  2.75e-03  5.70e+04 -1.75e+09  2.50e-04  2.30e+02 
  9250| 2.04e+03  2.69e-03  5.61e+04 -1.75e+09  2.50e-04  2.36e+02 
  9500| 2.02e+03  2.66e-03  5.52e+04 -1.74e+09  2.50e-04  2.44e+02 
  9750| 2.00e+03  2.62e-03  5.44e+04 -1.73e+09  2.50e-04  2.52e+02 
 10000| 1.98e+03  2.58e-03  5.35e+04 -1.73e+09  2.50e-04  2.59e+02 
 10250| 1.96e+03  2.55e-03  5.27e+04 -1.72e+09  2.50e-04  2.65e+02 
 10500| 1.94e+03  2.51e-03  5.20e+04 -1.72e+09  2.50e-04  2.72e+02 
 10750| 1.92e+03  2.47e-03  5.12e+04 -1.71e+09  2.50e-04  2.79e+02 
 11000| 1.90e+03  2.44e-03  5.05e+04 -1.71e+09  2.50e-04  2.85e+02 
 11250| 1.88e+03  2.41e-03  4.98e+04 -1.70e+09  2.50e-04  2.92e+02 
 11500| 1.86e+03  2.37e-03  4.91e+04 -1.70e+09  2.50e-04  2.98e+02 
 11750| 1.85e+03  2.34e-03  4.84e+04 -1.69e+09  2.50e-04  3.03e+02 
 12000| 1.83e+03  2.31e-03  4.77e+04 -1.69e+09  2.50e-04  3.10e+02 
 12250| 1.81e+03  2.28e-03  4.71e+04 -1.68e+09  2.50e-04  3.16e+02 
 12500| 1.80e+03  2.25e-03  4.65e+04 -1.68e+09  2.50e-04  3.23e+02 
 12750| 1.78e+03  2.22e-03  4.59e+04 -1.67e+09  2.50e-04  3.32e+02 
 13000| 1.76e+03  2.20e-03  4.53e+04 -1.67e+09  2.50e-04  3.41e+02 
 13250| 1.75e+03  2.17e-03  4.47e+04 -1.66e+09  2.50e-04  3.49e+02 
 13500| 1.73e+03  2.14e-03  4.42e+04 -1.66e+09  2.50e-04  3.57e+02 
 13750| 1.72e+03  2.12e-03  4.36e+04 -1.65e+09  2.50e-04  3.64e+02 
 14000| 1.70e+03  2.09e-03  4.31e+04 -1.65e+09  2.50e-04  3.69e+02 
 14250| 1.69e+03  2.07e-03  4.26e+04 -1.64e+09  2.50e-04  3.77e+02 
 14500| 1.68e+03  2.04e-03  4.21e+04 -1.64e+09  2.50e-04  3.83e+02 
 14750| 1.66e+03  2.02e-03  4.16e+04 -1.64e+09  2.50e-04  3.89e+02 
 15000| 1.65e+03  2.00e-03  4.11e+04 -1.63e+09  2.50e-04  3.95e+02 
 15250| 1.63e+03  1.97e-03  4.06e+04 -1.63e+09  2.50e-04  4.01e+02 
 15500| 1.62e+03  1.95e-03  4.01e+04 -1.62e+09  2.50e-04  4.07e+02 
 15750| 1.61e+03  1.93e-03  3.97e+04 -1.62e+09  2.50e-04  4.15e+02 
 16000| 1.60e+03  1.91e-03  3.92e+04 -1.61e+09  2.50e-04  4.23e+02 
 16250| 1.58e+03  1.89e-03  3.88e+04 -1.61e+09  2.50e-04  4.30e+02 
 16500| 1.57e+03  1.87e-03  3.84e+04 -1.61e+09  2.50e-04  4.37e+02 
 16750| 1.56e+03  1.85e-03  3.79e+04 -1.60e+09  2.50e-04  4.45e+02 
 17000| 1.55e+03  1.83e-03  3.75e+04 -1.60e+09  2.50e-04  4.54e+02 
 17250| 1.53e+03  1.81e-03  3.71e+04 -1.59e+09  2.50e-04  4.62e+02 
